entity,n-revs
Tests/FluentAssertions.Specs/Common/TimeSpanExtensions.cs,4
Src/FluentAssertions/Equivalency/IEquivalencyValidationContext.cs,4
Src/FluentAssertions/Common/IntegerExtensions.cs,4
Tests/FluentAssertions.Specs/Types/PropertyInfoSelectorSpecs.cs,4
Tests/FluentAssertions.Specs/Primitives/GuidAssertionSpecs.cs,4
Src/FluentAssertions/Equivalency/Steps/EnumerableEquivalencyValidator.cs,4
Tests/FluentAssertions.Specs/Extensions/ObjectExtensionsSpecs.cs,4
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.cs,4
Src/FluentAssertions/Specialized/ExecutionTime.cs,4
Src/FluentAssertions/Equivalency/Execution/CollectionMemberAssertionOptionsDecorator.cs,4
Tests/FluentAssertions.Specs/Specialized/DelegateAssertionSpecs.cs,4
Tests/FluentAssertions.Equivalency.Specs/EnumSpecs.cs,4
Src/FluentAssertions/Extensions/FluentDateTimeExtensions.cs,4
Src/FluentAssertions/Formatting/AttributeBasedFormatter.cs,4
Tests/FluentAssertions.Equivalency.Specs/MemberConversionSpecs.cs,4
Src/FluentAssertions/Common/Configuration.cs,4
Src/FluentAssertions/Collections/MaximumMatching/MaximumMatchingSolver.cs,4
Src/FluentAssertions/Execution/XUnit2TestFramework.cs,4
Src/FluentAssertions/Formatting/DateOnlyValueFormatter.cs,4
Src/FluentAssertions/Equivalency/Selection/IncludeMemberByPathSelectionRule.cs,4
Src/FluentAssertions/Numeric/NullableNumericAssertions.cs,4
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.BeInAscendingOrder.cs,3
Tests/FluentAssertions.Specs/Collections/Data/DataRowCollectionAssertionSpecs.cs,3
Src/FluentAssertions/Data/IDataEquivalencyAssertionOptions.cs,3
Src/FluentAssertions/Formatting/FormattingOptions.cs,3
Tests/FluentAssertions.Specs/Execution/TestFrameworkProviderTests.cs,3
Tests/FluentAssertions.Specs/Types/TypeAssertionSpecs.HaveMethod.cs,3
Tests/FluentAssertions.Specs/Collections/Data/DataTableCollectionAssertionSpecs.cs,3
Src/FluentAssertions/Equivalency/Ordering/ByteArrayOrderingRule.cs,3
Src/FluentAssertions/Formatting/StringValueFormatter.cs,3
Src/FluentAssertions/DataTableAssertionExtensions.cs,3
Tests/FluentAssertions.Specs/Collections/GenericCollectionAssertionOfStringSpecs.AllSatisfy.cs,3
Src/FluentAssertions/Primitives/StringEqualityValidator.cs,3
Tests/FluentAssertions.Specs/Formatting/PredicateLambdaExpressionValueFormatterSpecs.cs,3
Tests/Benchmarks/CheckIfMemberIsBrowsable.cs,3
Src/FluentAssertions/Events/EventRecorder.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.AllBeAssignableTo.cs,3
Src/FluentAssertions/Equivalency/Steps/EnumEqualityStep.cs,3
Src/FluentAssertions/Primitives/NegatedStringStartValidator.cs,3
Tests/FluentAssertions.Specs/Collections/CollectionAssertionSpecs.OnlyHaveUniqueItems.cs,3
Src/FluentAssertions/Formatting/ExceptionValueFormatter.cs,3
Src/FluentAssertions/Equivalency/Ordering/PredicateBasedOrderingRule.cs,3
